730,10,Entel Telefonia Móvil S.A.
730,99,WILL Telefonia
460,0,China Mobile
460,1,China Unicom
460,2,Liaoning PPTA
460,3,China Unicom CDMA
460,4,China Satellite Global Star Network
460,5,China Telecom
460,6,China Unicom
460,7,China Mobile
460,20,China Tietong (GSM-R)
732,1,Colombia Telecomunicaciones S.A.
732,2,Edatel S.A.
732,20,Emtelsa
732,99,Emcali
732,101,Comcel S.A. Occel S.A./Celcaribe
732,102,Bellsouth Colombia S.A.
732,103,Colombia Móvil S.A.
732,111,Colombia Móvil S.A.
732,123,Telefónica Móviles Colombia
732,130,Avantel
654,1,HURI - SNPT
548,1,Telecom Cook
712,1,Instituto Costarricense de Electricidad - ICE
712,2,Instituto Costarricense de Electricidad - ICE
712,3,Gruop ICE
612,1,Cora de Comstar
612,2,Moov
612,3,Orange
612,4,Koz
612,5,MTN
612,6,OriCel
219,1,T-Mobile
219,2,Tele2
219,10,VIPnet
368,1,Empresa de Telecomunicaciones de Cuba, SA
280,0,Areeba Ltd.
280,1,CYTA
280,10,Areeba Ltd
280,20,Primetel PLC
230,1,T-Mobile Czech Republic a.s.
230,2,Telefónica O2 Czech Republic a.s.
230,3,Vodafone Czech Republic a.s.
230,4,Mobilkom a.s.
230,5,Travel Telecomunication s.r.o.
230,6,Osno Telecomunication s.r.o.
230,10,Telefónica O2 Czech Republic a.s.
230,98,Sprava Zeleznicni Dopravni Cesty
230,99,Vodafone Czech Republic a.s. R&D Centre
630,1,Vodacom Congo RDC sprl
630,2,Celtel Congo
630,5,Supercell Sprl
630,10,Libertis Telecom
630,86,Congo-Chine Telecom s.a.r.l.
630,88,Yozma Timeturns
630,89,Sait-Télécom SPRL
238,1,TDC Mobil APS
238,2,Telenor Denmark
238,3,End2End
238,5,Dansk Beredskapskommunikasjon
238,6,H3G APS
238,7,Mundio Mobile
238,8,Nordisk Mobiltelefon
238,10,TDC Mobil APS
238,12,Lyca Mobile Denmark Ltd
238,20,Telia Sonera APS
238,23,Banedanmark
238,30,Telia Sonera APS
